Singular Value Scale,Scale,PALM Objective @ Iter 100,FISTA-PALM Objective @ Iter 100
1e-01,0.1,181.3762291364817,0.9515717966667487
1e-02,0.01,180.38713492246725,0.01035089093240682
1e-03,0.001,180.37670821299096,0.0009165586854523682
1e-04,0.0001,180.37654978886064,0.0008221752303570506
1e-05,1e-05,180.37654278664726,0.0008213082605188689
1e-06,1e-06,180.376542174866,0.0008213090327273407
1e+01,10.0,9905.158668179856,8715.790755727165
1e+02,100.0,913360.9961162981,817950.0373334835
1e+03,1000.0,85839099.9338792,80415691.21430375
1e+04,10000.0,8559207874.142237,8026059701.954699
1e+05,100000.0,856374471005.04,802133556421.2275
1e+06,1000000.0,85721078107930.42,80299887415958.56
