Method,Objective @ Iter 100,Objective @ Iter 200,Final Objective,Iterations
PALM,12813.59629749033,5803.3156572922035,5803.3156572922035,200
FISTA-PALM,531.3451873124732,360.12343499864613,360.12343499864613,200
iPALM,8660.485103770268,5720.609193263381,5720.609193263381,200
