Method,Objective @ Iter 100,Objective @ Iter 200,Final Objective,Iterations
PALM,8686.894815485908,6812.315134502545,6812.315134502545,200
FISTA-PALM,4171.397570302587,3213.420722107084,3213.420722107084,200
iPALM,7398.929831878964,5361.662797328242,5361.662797328242,200
